english,meaning,full_meaning
무마하기 위한 감사합니다,아자스 , "아"리가또고"자"이마"스"의 줄임말 사용법은 대충 심한말을 한 다음 아자스를 쓰면 농담이 되는 형식이다. 그냥 고마울때도 쓴다
가면 간다는 뜻,GMG,가면 감 Ga Myun Gam
느낌 좋다,느좋,패션이 좋아보일때 느좋 이렇게 쓴다. 느좋카페 이런식으로 응용가능 발음에 주의하자
